dis,phi,reg_phi,raw_kdp,reg_kdp,kdp_lsf
10.35,42.61,44.23142857142857,3.2,0.0,2.989880952380954
10.425,43.88,44.23142857142857,3.2,6.22857142857157,3.0453571428571427
10.5,46.1,46.1,3.1,9.311904761904827,2.965357142857156
10.575,47.87,47.025,3.1,3.0833333333333712,3.230926870748306
10.65,46.18,47.025,3.1,3.583333333333428,3.3573044217686903
10.725,48.81,48.1,3.1,3.5833333333333997,3.3444897959183653
10.8,49.44,48.1,3.0,0.0,3.192482993197274
10.875,46.05,48.1,3.0,4.466666666666697,3.431909013605442
10.95,49.44,49.44,2.9,5.433333333333394,3.4563392857142894
11.025,49.73,49.73,2.9,2.1250000000000284,3.2657738095238202
11.1,50.55,50.0775,2.8,1.1583333333333599,3.216130952380955
11.175,50.76,50.0775,2.7,0.0,3.17217261904762
11.25,50.26,50.0775,2.7,0.0,2.9797321428571335
11.325,48.74,50.0775,2.6,10.612499999999699,2.8435714285714204
11.4,57.28,53.26125,2.5,10.612499999999699,2.584523809523812
11.475,50.93,53.26125,2.5,0.0,2.3240476190476227
11.55,55.2,53.26125,2.4,0.0,2.3844047619047504
11.625,55.11,53.26125,2.2,0.0,2.3622619047619065
11.7,49.25,53.26125,2.2,0.0,2.3042261904761756
11.775,52.5,53.26125,2.2,0.0,2.119523809523808
11.85,53.88,53.26125,2.1,0.0,1.8081547619047724
11.925,51.94,53.26125,2.1,2.429166666666731,1.3701190476190497
12.0,53.99,53.99,2.1,6.545833333333405,1.5872619047619219
12.075,55.96,55.225,2.1,4.1166666666667595,1.8518154761904677
12.15,54.49,55.225,2.1,0.575000000000017,2.0228273809523896
12.225,57.85,55.3975,2.1,0.575000000000017,2.100297619047631
12.3,54.88,55.3975,2.1,0.0,2.144411375661388
12.375,54.55,55.3975,2.1,0.0,2.0863855820105766
12.45,54.31,55.3975,2.0,3.5083333333332405,1.9262202380952387
12.525,56.45,56.45,2.0,5.9749999999999375,1.6639153439153453
12.6,58.7,57.19,2.0,2.466666666666697,1.438280423280433
12.675,57.57,57.19,2.0,0.0,1.3630952380952335
12.75,55.3,57.19,2.0,1.2037037037037237,1.232526455026451
12.825,58.9,57.55111111111111,2.0,1.2037037037037521,1.0794312169312084
12.9,58.96,57.55111111111111,1.9,0.0,0.8750595238095159
12.975,58.03,57.55111111111111,1.9,0.0,0.938392857142859
13.05,55.95,57.55111111111111,1.9,0.0,0.9048809523809501
13.125,58.12,57.55111111111111,1.9,0.0,0.9891666666666727
13.2,59.7,57.55111111111111,1.8,0.0,1.4239285714285732
13.275,56.95,57.55111111111111,1.8,0.0,1.7620238095238128
13.35,57.26,57.55111111111111,1.8,0.0,2.0562301587301675
13.425,54.09,57.55111111111111,1.8,6.379629629629761,2.3150132275132362
