radial_idx	distance	zh	rho	zdr	phi	sd_zdr	sd_phi	zh_qc	rho_qc	zdr_qc	phi_qc	phi_reg	kdp_lsf
147.0000	13.2000	33.0000	0.9850	0.7500	59.7000	0.4258	1.6507	33.0000	0.9850	0.7500	59.7000	57.5511	1.8827
147.0000	13.2750	34.0000	0.9750	1.5000	56.9500	0.5699	2.1832	34.0000	0.9750	1.5000	56.9500	57.5511	1.8683
147.0000	13.3500	31.5000	0.9850	0.8750	57.2600	0.5418	2.0759	31.5000	0.9850	0.8750	57.2600	57.5511	1.8548
147.0000	13.4250	33.5000	0.9700	0.3750	54.0900	0.4412	2.1597	33.5000	0.9700	0.3750	54.0900	57.5511	1.8390
147.0000	13.5000	32.0000	0.9600	1.7500	61.2200	0.4178	2.5025	32.0000	0.9600	1.7500	61.2200	59.4650	1.8172
147.0000	13.5750	37.0000	0.9900	1.1875	57.7100	0.4070	2.5322	37.0000	0.9900	1.1875	57.7100	59.4650	1.9531
147.0000	13.6500	39.5000	0.9850	1.3750	59.5500	0.4195	2.6594	39.5000	0.9850	1.3750	59.5500	59.5500	1.9477
147.0000	13.7250	38.0000	0.9900	1.3125	61.8800	0.2538	1.7903	38.0000	0.9900	1.3125	61.8800	61.2500	1.9309
147.0000	13.8000	38.5000	0.9850	1.3750	60.6200	0.2769	1.9322	38.5000	0.9850	1.3750	60.6200	61.2500	1.9068
147.0000	13.8750	41.0000	0.9900	1.6875	62.1900	0.2882	1.5547	41.0000	0.9900	1.6875	62.1900	61.5667	1.8714
147.0000	13.9500	38.0000	0.9850	1.9375	63.6700	0.2832	2.0281	38.0000	0.9850	1.9375	63.6700	61.5667	1.8568
147.0000	14.0250	36.0000	0.9800	1.0625	58.8400	0.2729	2.4727	36.0000	0.9800	1.0625	58.8400	61.5667	1.8329
147.0000	14.1000	41.5000	0.9900	1.8125	62.0800	0.2682	2.3966	41.5000	0.9900	1.8125	62.0800	62.0800	1.8300
147.0000	14.1750	39.0000	0.9900	1.5000	65.7700	0.3951	3.0114	39.0000	0.9900	1.5000	65.7700	64.4467	1.8329
147.0000	14.2500	39.0000	0.9800	1.4375	66.2500	0.3578	3.0126	39.0000	0.9800	1.4375	66.2500	64.4467	1.8245
147.0000	14.3250	39.5000	0.9900	1.4375	61.3200	0.4470	2.3160	39.5000	0.9900	1.4375	61.3200	64.4467	1.8102
147.0000	14.4000	36.0000	0.9750	0.6875	68.2600	0.3681	2.1321	36.0000	0.9750	0.6875	68.2600	64.5117	1.7938
147.0000	14.4750	38.5000	0.9850	0.9375	63.4900	0.3305	2.1100	38.5000	0.9850	0.9375	63.4900	64.5117	1.7661
147.0000	14.5500	34.5000	0.9750	0.5000	63.1000	0.3391	1.9632	34.5000	0.9750	0.5000	63.1000	64.5117	1.4860
