dis,phi,reg_phi,smt_kdp
19.800000,66.910000,67.697500,0.212222
19.875000,67.670000,67.697500,0.212222
19.950000,68.400000,67.856667,0.576667
20.025000,68.180000,67.856667,1.084545
20.100000,66.990000,67.856667,0.872323
20.175000,68.130000,68.130000,0.872323
20.250000,69.810000,68.510909,0.872323
20.325000,68.560000,68.510909,0.507879
20.400000,67.970000,68.510909,0.000000
20.475000,70.240000,68.510909,0.000000
20.550000,67.950000,68.510909,0.000000
20.625000,67.870000,68.510909,0.000000
20.700000,67.310000,68.510909,0.000000
20.775000,68.490000,68.510909,0.000000
20.850000,68.850000,68.510909,1.005871
20.925000,69.540000,68.510909,1.005871
21.000000,67.030000,68.510909,1.005871
21.075000,73.180000,69.265312,1.005871
21.150000,68.050000,69.265312,1.005871
21.225000,67.940000,69.265312,0.000000
21.300000,69.450000,69.265312,0.000000
21.375000,70.610000,69.265312,0.000000
21.450000,67.280000,69.265312,0.000000
21.525000,71.100000,69.265312,0.000000
21.600000,70.480000,69.265312,0.000000
21.675000,70.360000,69.265312,0.000000
21.750000,69.330000,69.265312,0.000000
21.825000,72.070000,69.265312,0.000000
21.900000,70.620000,69.265312,0.000000
21.975000,70.130000,69.265312,0.000000
22.050000,70.180000,69.265312,0.000000
22.125000,67.710000,69.265312,0.000000
22.200000,68.130000,69.265312,0.000000
22.275000,70.170000,69.265312,0.000000
22.350000,69.640000,69.265312,0.000000
22.425000,69.890000,69.265312,0.000000
22.500000,68.790000,69.265312,0.000000
22.575000,65.680000,69.265312,0.000000
22.650000,69.280000,69.265312,0.000000
22.725000,68.750000,69.265312,0.000000
22.800000,67.640000,69.265312,0.000000
22.875000,68.720000,69.265312,0.000000
22.950000,70.780000,69.265312,0.000000
23.025000,69.860000,69.265312,0.000000
23.100000,70.560000,69.265312,0.000000
23.175000,66.540000,69.265312,0.000000
23.250000,68.200000,69.265312,0.526250
23.325000,68.350000,69.265312,0.748472
23.400000,67.020000,69.265312,0.748472
23.475000,69.660000,69.660000,0.748472
23.550000,70.710000,69.826667,0.748472
23.625000,69.370000,69.826667,0.222222
23.700000,70.030000,69.826667,0.000000
23.775000,70.830000,69.826667,0.000000
23.850000,69.670000,69.826667,0.000000
23.925000,69.140000,69.826667,0.000000
24.000000,69.860000,69.826667,1.884444
24.075000,69.090000,69.826667,1.884444
24.150000,69.740000,69.826667,1.884444
24.225000,72.480000,71.240000,1.884444
24.300000,71.840000,71.240000,1.884444
24.375000,71.390000,71.240000,0.566667
24.450000,70.350000,71.240000,0.566667
24.525000,70.140000,71.240000,0.566667
24.600000,74.090000,71.665000,0.566667
24.675000,73.620000,71.665000,0.566667
24.750000,70.980000,71.665000,0.000000
24.825000,71.600000,71.665000,1.348333
24.900000,68.990000,71.665000,1.348333
24.975000,70.710000,71.665000,1.348333
25.050000,73.380000,72.676250,1.348333
25.125000,74.160000,72.676250,1.348333
25.200000,73.730000,72.676250,0.000000
25.275000,71.600000,72.676250,0.000000
25.350000,71.550000,72.676250,0.000000
25.425000,74.320000,72.676250,0.199286
25.500000,72.730000,72.676250,0.199286
25.575000,69.940000,72.676250,0.199286
25.650000,73.290000,72.825714,0.199286
25.725000,74.750000,72.825714,0.199286
25.800000,75.710000,72.825714,0.000000
25.875000,73.840000,72.825714,0.000000
25.950000,75.040000,72.825714,0.000000
26.025000,71.920000,72.825714,0.000000
26.100000,73.040000,72.825714,0.000000
26.175000,75.940000,72.825714,0.000000
26.250000,70.470000,72.825714,0.000000
26.325000,71.870000,72.825714,0.000000
26.400000,68.900000,72.825714,0.000000
26.475000,73.740000,72.825714,1.108643
26.550000,69.830000,72.825714,1.108643
26.625000,71.220000,72.825714,1.108643
26.700000,76.180000,73.657197,1.108643
26.775000,75.620000,73.657197,1.108643
26.850000,73.020000,73.657197,0.000000
26.925000,74.780000,73.657197,0.000000
27.000000,72.930000,73.657197,0.000000
27.075000,71.290000,73.657197,0.000000
27.150000,75.050000,73.657197,0.000000
27.225000,75.640000,73.657197,0.000000
27.300000,73.790000,73.657197,0.000000
27.375000,72.680000,73.657197,0.000000
27.450000,78.120000,73.657197,0.000000
27.525000,78.610000,73.657197,0.000000
27.600000,67.180000,73.657197,0.000000
27.675000,340.730000,73.657197,0.000000
27.750000,71.290000,73.657197,0.000000
27.825000,77.150000,73.657197,0.000000
27.900000,68.540000,73.657197,0.000000
27.975000,75.520000,73.657197,0.000000
28.050000,84.520000,73.657197,0.000000
28.125000,49.560000,73.657197,0.000000
28.200000,67.300000,73.657197,0.000000
28.275000,66.650000,73.657197,0.000000
28.350000,73.480000,73.657197,0.000000
28.425000,71.300000,73.657197,0.000000
28.500000,70.770000,73.657197,0.000000
28.575000,73.180000,73.657197,0.000000
28.650000,71.590000,73.657197,0.000000
28.725000,62.010000,73.657197,0.000000
28.800000,76.360000,73.657197,0.000000
28.875000,78.070000,73.657197,0.000000
28.950000,71.440000,73.657197,0.000000
29.025000,72.580000,73.657197,0.000000
29.100000,68.240000,73.657197,0.000000
29.175000,65.290000,73.657197,0.000000
29.250000,68.170000,73.657197,0.000000
29.325000,82.310000,73.657197,0.000000
29.400000,70.600000,73.657197,0.000000
29.475000,96.940000,73.657197,0.000000
