dis,phi,reg_phi
48.15,72.07,73.65719665271968
48.225,65.07,73.65719665271968
48.525,85.34,73.65719665271968
48.6,95.78,73.65719665271968
48.675,73.49,73.65719665271968
48.75,83.14,73.65719665271968
48.825,83.31,73.65719665271968
48.9,56.07,73.65719665271968
48.975,65.92,73.65719665271968
49.05,62.18,73.65719665271968
49.125,62.19,73.65719665271968
49.2,74.07,73.65719665271968
49.275,64.18,73.65719665271968
49.35,70.52,73.65719665271968
49.425,68.9,73.65719665271968
49.5,68.88,73.65719665271968
49.575,69.63,73.65719665271968
49.65,71.89,73.65719665271968
49.725,65.33,73.65719665271968
49.8,69.89,73.65719665271968
49.875,62.82,73.65719665271968
49.95,73.57,73.65719665271968
50.025,71.8,73.65719665271968
50.1,66.99,73.65719665271968
50.175,76.02,73.65719665271968
50.25,67.43,73.65719665271968
50.325,62.91,73.65719665271968
50.4,73.71,73.65719665271968
50.475,72.1,73.65719665271968
50.55,69.04,73.65719665271968
50.625,71.65,73.65719665271968
50.7,70.1,73.65719665271968
50.775,71.1,73.65719665271968
50.85,73.79,73.65719665271968
50.925,75.15,73.65719665271968
51.0,71.0,73.65719665271968
51.075,75.29,73.65719665271968
51.15,70.93,73.65719665271968
51.225,70.38,73.65719665271968
51.3,77.95,73.65719665271968
51.375,74.53,73.65719665271968
51.45,77.98,73.65719665271968
51.525,77.38,73.65719665271968
51.6,57.24,73.65719665271968
51.75,108.74,74.50145161290321
51.825,68.3,74.50145161290321
51.9,114.4,74.50145161290321
51.975,84.86,74.50145161290321
52.8,67.65,74.50145161290321
52.875,79.99,74.50145161290321
52.95,66.78,74.50145161290321
53.025,71.33,74.50145161290321
53.1,71.28,74.50145161290321
53.175,67.13,74.50145161290321
53.25,68.48,74.50145161290321
53.325,74.68,74.50145161290321
53.4,77.3,74.50145161290321
53.475,76.7,74.50145161290321
53.55,72.44,74.50145161290321
53.625,70.63,74.50145161290321
53.7,77.51,74.50145161290321
53.775,72.94,74.50145161290321
53.85,73.51,74.50145161290321
53.925,72.5,74.50145161290321
54.0,79.29,74.50145161290321
54.075,67.21,74.50145161290321
55.275,69.58,74.50145161290321
55.35,72.7,74.50145161290321
55.425,70.55,74.50145161290321
55.5,71.35,74.50145161290321
55.575,66.86,74.50145161290321
55.65,72.66,74.50145161290321
55.725,73.75,74.50145161290321
55.8,75.65,74.50145161290321
55.875,74.17,74.50145161290321
55.95,69.68,74.50145161290321
56.025,81.66,74.50145161290321
56.1,75.09,74.50145161290321
56.175,80.06,74.50145161290321
56.25,72.35,74.50145161290321
56.325,78.01,74.50145161290321
56.4,83.04,74.50145161290321
56.475,81.47,74.50145161290321
56.55,92.05,74.50145161290321
57.0,45.41,74.50145161290321
57.075,85.63,74.50145161290321
57.15,70.42,74.50145161290321
57.225,73.96,74.50145161290321
57.3,77.69,74.50145161290321
57.375,66.96,74.50145161290321
57.45,60.95,74.50145161290321
62.475,68.29,74.50145161290321
62.55,84.2,74.50145161290321
62.625,64.86,74.50145161290321
62.7,67.91,74.50145161290321
62.775,69.82,74.50145161290321
62.85,73.0,74.50145161290321
62.925,79.18,74.50145161290321
63.0,81.34,74.50145161290321
63.075,72.94,74.50145161290321
63.15,74.1,74.50145161290321
63.225,80.56,74.50145161290321
63.3,70.39,74.50145161290321
63.45,77.8,74.50145161290321
63.525,63.29,74.50145161290321
63.6,66.06,74.50145161290321
63.675,116.67,76.07253731343283
63.75,76.03,76.07253731343283
63.825,54.84,76.07253731343283
63.9,60.47,76.07253731343283
63.975,83.36,76.07253731343283
64.05,83.81,76.07253731343283
64.125,81.5,76.07253731343283
64.2,72.18,76.07253731343283
64.275,81.65,76.07253731343283
64.35,74.59,76.07253731343283
64.425,84.7,76.07253731343283
64.5,88.15,76.07253731343283
64.575,89.08,76.07253731343283
64.65,76.25,76.07253731343283
64.725,79.1,76.07253731343283
64.8,72.03,76.07253731343283
64.875,77.31,76.07253731343283
64.95,68.82,76.07253731343283
65.025,76.28,76.07253731343283
65.1,80.39,76.07253731343283
65.175,83.48,76.07253731343283
65.25,87.06,76.07253731343283
65.325,78.84,76.07253731343283
65.4,78.88,76.07253731343283
65.475,78.65,76.07253731343283
65.55,75.49,76.07253731343283
65.625,87.98,76.07253731343283
65.7,64.71,76.07253731343283
65.775,83.72,76.07253731343283
65.85,72.24,76.07253731343283
65.925,81.44,76.07253731343283
66.0,77.3,76.07253731343283
66.075,71.42,76.07253731343283
66.15,64.69,76.07253731343283
66.225,65.44,76.07253731343283
66.3,56.52,76.07253731343283
66.375,78.46,76.07253731343283
66.45,72.52,76.07253731343283
66.525,73.06,76.07253731343283
66.6,81.09,76.07253731343283
66.675,68.83,76.07253731343283
66.75,76.1,76.07253731343283
66.825,78.03,76.07253731343283
66.9,81.78,76.07253731343283
66.975,71.75,76.07253731343283
