bin	dis	ZDR	SD_ZDR	PHIDP	SD_PHIDP
660	49.575000	-1.062500	0.635122	37.610000	5.350697
661	49.650000	0.625000	0.639126	48.520000	4.160222
662	49.725000	1.187500	0.639874	40.220000	4.178232
663	49.800000	0.125000	0.687906	40.740000	4.158138
664	49.875000	0.562500	0.361138	40.440000	3.725951
665	49.950000	0.187500	0.406029	39.220000	3.015140
666	50.025000	1.000000	0.563845	48.680000	4.793860
667	50.100000	0.500000	0.759506	42.020000	5.179384
668	50.175000	1.125000	0.779194	39.680000	5.182082
669	50.250000	-0.687500	0.847415	31.030000	5.133183
670	50.325000	1.937500	0.837479	45.810000	4.142928
671	50.400000	1.187500	0.836336	40.280000	4.094281
672	50.475000	-0.312500	0.861133	41.290000	4.280496
673	50.550000	0.562500	0.873085	39.930000	2.930872
674	50.625000	0.687500	0.667198	38.170000	2.997460
675	50.700000	-0.250000	0.582209	35.840000	5.893507
676	50.775000	-0.750000	0.605828	37.990000	5.916731
677	50.850000	0.875000	0.608585	46.040000	5.861423
678	50.925000	0.625000	0.624107	25.370000	5.837151
679	51.000000	1.062500	0.617687	32.890000	7.016816
680	51.075000	0.625000	0.322913	39.170000	7.447108
681	51.150000	0.875000	0.598947	37.440000	9.856787
682	51.225000	1.312500	0.742415	47.630000	8.367055
683	51.300000	1.562500	0.747658	30.960000	8.467075
684	51.375000	-0.437500	0.764528	56.790000	8.460165
685	51.450000	-0.437500	0.768169	44.910000	8.340270
686	51.525000	1.125000	0.730180	32.220000	8.468428
687	51.600000	1.125000	0.617558	39.370000	7.584469
688	51.675000	0.437500	0.550394	44.020000	4.651014
689	51.750000	0.875000	0.467707	33.850000	4.140231
690	51.825000	0.500000	0.431537	43.570000	3.254836
691	51.900000	-0.062500	0.431537	39.000000	4.453148
692	51.975000	-0.062500	0.496319	40.170000	4.275515
693	52.050000	0.875000	0.567790	37.350000	4.861045
694	52.125000	1.125000	0.608454	48.350000	5.311190
695	52.200000	1.250000	0.608454	41.140000	6.198739
696	52.275000	1.437500	0.479490	51.780000	7.830587
697	52.350000	1.437500	0.730944	36.820000	8.578900
698	52.425000	-0.062500	0.879090	52.420000	13.498384
699	52.500000	0.937500	0.886315	59.030000	16.533460
700	52.575000	-0.562500	0.883252	33.450000	17.160398
701	52.650000	2.187500	0.904390	15.880000	17.568316
702	52.725000	1.375000	0.839476	68.850000	18.299009
