dis_mid,azimuth_deg,raw_kdp_abs_diff,reg_kdp_abs_diff,kdp_lsf_abs_diff
24.7875,155.81999,0.0,NaN,NaN
24.862499999999997,155.81999,0.0,8.526512829121202e-14,1.3871910702702018e-16
24.9375,155.81999,0.0,7.105427357601002e-15,1.3871910702702018e-16
25.012500000000003,155.81999,0.0,NaN,NaN
25.0875,155.81999,NaN,NaN,NaN
25.1625,155.81999,NaN,NaN,NaN
25.237499999999997,155.81999,NaN,1.9560741915114477e-14,2.6274799639849147e-16
25.3125,155.81999,NaN,NaN,NaN
25.387500000000003,155.81999,NaN,NaN,NaN
25.4625,155.81999,NaN,NaN,NaN
25.5375,155.81999,NaN,NaN,NaN
25.612499999999997,155.81999,NaN,NaN,NaN
25.6875,155.81999,NaN,NaN,NaN
25.762500000000003,155.81999,NaN,NaN,NaN
25.8375,155.81999,NaN,NaN,NaN
25.9125,155.81999,NaN,NaN,NaN
25.987499999999997,155.81999,NaN,NaN,NaN
26.0625,155.81999,NaN,NaN,NaN
26.137500000000003,155.81999,NaN,NaN,NaN
26.2125,155.81999,NaN,NaN,NaN
26.2875,155.81999,NaN,NaN,NaN
26.362499999999997,155.81999,NaN,NaN,NaN
26.4375,155.81999,NaN,NaN,NaN
26.512500000000003,155.81999,NaN,NaN,NaN
26.5875,155.81999,NaN,NaN,NaN
26.6625,155.81999,NaN,NaN,NaN
26.737499999999997,155.81999,NaN,NaN,NaN
26.8125,155.81999,NaN,NaN,NaN
26.887500000000003,155.81999,NaN,NaN,NaN
26.9625,155.81999,NaN,NaN,NaN
27.0375,155.81999,NaN,NaN,NaN
27.112499999999997,155.81999,NaN,NaN,NaN
27.1875,155.81999,NaN,NaN,NaN
27.262500000000003,155.81999,NaN,NaN,NaN
27.3375,155.81999,NaN,NaN,NaN
27.4125,155.81999,NaN,NaN,NaN
27.487499999999997,155.81999,NaN,NaN,NaN
27.5625,155.81999,NaN,NaN,NaN
27.637500000000003,155.81999,NaN,NaN,NaN
27.7125,155.81999,NaN,NaN,NaN
27.7875,155.81999,NaN,NaN,NaN
27.862499999999997,155.81999,NaN,NaN,NaN
27.9375,155.81999,NaN,NaN,NaN
28.012500000000003,155.81999,NaN,NaN,NaN
28.0875,155.81999,NaN,NaN,NaN
28.1625,155.81999,NaN,NaN,NaN
28.237499999999997,155.81999,NaN,NaN,NaN
28.3125,155.81999,NaN,NaN,NaN
28.387500000000003,155.81999,NaN,NaN,NaN
28.4625,155.81999,NaN,NaN,NaN
28.5375,155.81999,NaN,NaN,NaN
28.612499999999997,155.81999,NaN,NaN,NaN
28.6875,155.81999,NaN,NaN,NaN
28.762500000000003,155.81999,NaN,NaN,NaN
28.8375,155.81999,NaN,NaN,NaN
28.9125,155.81999,NaN,NaN,NaN
28.987499999999997,155.81999,NaN,NaN,NaN
29.0625,155.81999,NaN,NaN,NaN
29.137500000000003,155.81999,NaN,NaN,NaN
29.2125,155.81999,NaN,NaN,NaN
29.2875,155.81999,NaN,NaN,NaN
29.362499999999997,155.81999,NaN,NaN,NaN
29.4375,155.81999,NaN,NaN,NaN
29.512500000000003,155.81999,NaN,NaN,NaN
29.5875,155.81999,NaN,NaN,NaN
29.6625,155.81999,NaN,NaN,NaN
29.737499999999997,155.81999,NaN,NaN,NaN
29.8125,155.81999,NaN,NaN,NaN
29.887500000000003,155.81999,NaN,NaN,NaN
29.9625,155.81999,NaN,NaN,NaN
30.0375,155.81999,NaN,NaN,NaN
30.112499999999997,155.81999,NaN,NaN,NaN
30.1875,155.81999,NaN,NaN,NaN
30.262500000000003,155.81999,NaN,NaN,NaN
30.3375,155.81999,NaN,NaN,NaN
30.4125,155.81999,NaN,NaN,NaN
30.487499999999997,155.81999,NaN,NaN,NaN
30.5625,155.81999,NaN,NaN,NaN
30.637500000000003,155.81999,NaN,NaN,NaN
30.7125,155.81999,NaN,NaN,NaN
30.7875,155.81999,NaN,NaN,NaN
30.862499999999997,155.81999,NaN,NaN,NaN
30.9375,155.81999,NaN,NaN,NaN
31.012500000000003,155.81999,NaN,NaN,NaN
31.0875,155.81999,NaN,NaN,NaN
31.1625,155.81999,NaN,NaN,NaN
31.237499999999997,155.81999,NaN,NaN,NaN
31.3125,155.81999,NaN,NaN,NaN
31.387500000000003,155.81999,NaN,NaN,NaN
31.4625,155.81999,NaN,NaN,NaN
31.5375,155.81999,NaN,NaN,NaN
31.612499999999997,155.81999,NaN,NaN,NaN
31.6875,155.81999,NaN,NaN,NaN
31.762500000000003,155.81999,NaN,NaN,NaN
31.8375,155.81999,NaN,NaN,NaN
31.9125,155.81999,NaN,NaN,NaN
31.987499999999997,155.81999,NaN,NaN,NaN
32.0625,155.81999,NaN,NaN,NaN
32.1375,155.81999,NaN,NaN,NaN
32.2125,155.81999,NaN,NaN,NaN
32.2875,155.81999,NaN,NaN,NaN
32.3625,155.81999,NaN,NaN,NaN
32.4375,155.81999,NaN,0.0,3.7677910579616856e-16
32.5125,155.81999,NaN,0.0,0.0
32.5875,155.81999,NaN,0.0,0.0
32.6625,155.81999,0.0,0.0,7.004411228865485e-16
32.7375,155.81999,0.0,0.0,5.855662423622323e-16
32.8125,155.81999,NaN,0.0,5.638376314739214e-16
32.8875,155.81999,NaN,0.0,7.69962960218809e-16
